...1,Date,Minimum temperature (Deg C),Maximum Temperature (Deg C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (Deg C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (Deg C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
41,2019-02-20,13.5,23.2,0,6.2,9.1,S,30,15:14:00,15.9,60,7,WNW,4,1015.3,22,46,5,ENE,6,1014.4
284,2018-12-8,22.7,30.3,0,14,1,SSW,35,17:54:00,26.7,40,7,NA,Calm,1014.9,29.6,36,7,NE,7,1014.1
299,2018-12-30,18.2,22.7,0.6,2.2,0,SSW,28,16:10:00,19.6,90,7,NA,Calm,1014.4,20.9,76,8,SSW,13,1013.4
151,2019-06-29,13,17.6,0.8,4.2,1.1,N,52,12:45:00,14.1,86,7,NE,13,1014.6,13.9,85,7,NNE,20,1006
65,2019-03-22,18.7,28.6,0,2.8,6.4,NNW,31,16:37:00,20.1,88,8,NNE,6,1015.4,25.5,66,2,SW,9,1011.7
184,2018-08-5,10.6,17.6,0,2,8.4,N,57,11:29:00,11.3,57,7,N,22,1010,17,37,1,N,33,1003.4
14,2019-01-19,16.5,23.5,2,4,13.2,SSW,31,15:17:00,18.4,66,1,WSW,7,1020.8,22.9,42,1,S,11,1021.2
287,2018-12-12,16,33.6,0,7.4,9.8,SW,44,18:54:00,22,67,5,NNE,11,1009.9,32.7,27,2,N,17,1004.9
16,2019-01-21,18.4,25.1,0,6,10.7,SSW,37,17:26:00,20,76,7,SSE,4,1018.1,24.8,66,1,SSW,13,1013.8
45,2019-02-24,13.8,32.9,0,5.2,12.4,NNE,35,10:25:00,18.1,69,0,ENE,4,1026.4,31.8,25,0,N,11,1023.3
133,2019-06-8,6.7,18.7,0,2.4,8.1,N,35,11:30:00,7.8,82,2,NA,Calm,1029,18.4,49,1,N,19,1023.5
196,2018-08-19,6.7,11.9,9.2,4.2,4.8,S,48,13:54:00,7.1,76,7,W,15,1018.6,10.9,64,6,SSW,13,1022.8
43,2019-02-22,15.5,21.2,0,4.8,10.4,S,39,16:06:00,17.3,64,7,SSE,9,1024.1,20.2,62,1,SSW,17,1023.4
218,2018-09-19,8.5,14.7,3,4.6,8.6,SSW,31,15:48:00,10.4,63,3,WSW,15,1013.3,12.7,57,5,SSW,13,1014.4
251,2018-10-30,8.3,25.2,0,4,12.4,SSW,30,17:48:00,15.9,60,7,NA,Calm,1016.8,23.2,33,7,S,9,1014.6
189,2018-08-10,9.4,20,0,4,9.3,N,70,10:14:00,15.3,44,5,N,26,1012.3,19.2,38,4,N,30,1006.6
291,2018-12-18,16.7,20.8,0,5.2,5,SW,31,14:46:00,17.6,70,8,SE,9,1016.6,19.1,70,7,SSW,15,1015.5
165,2018-07-15,6,13.8,0,3.2,9,N,50,13:38:00,7.9,66,1,N,24,1015.3,13.5,45,1,NNW,24,1011.7
158,2018-07-7,9.6,12.9,1.2,NA,5,NW,50,08:32:00,9.7,69,7,NW,20,1004.5,11.8,60,7,W,19,1010.8
86,2019-04-16,17.1,30.3,0,10.8,9.2,N,46,11:16:00,22.8,44,2,N,7,1021.3,30.1,22,1,N,19,1018
19,2019-01-26,19.9,26.1,0,15.8,10.3,SSW,37,21:44:00,21.6,63,7,SSE,9,1009.9,24.3,54,1,S,15,1007.3
226,2018-10-1,4.7,23.3,0,2.4,10.9,N,35,10:51:00,13.2,62,6,NNE,9,1027.2,20.9,33,1,SW,15,1023.5
173,2018-07-23,8.4,15.4,0.2,3.4,3.7,N,80,19:05:00,9.7,61,8,N,26,1013.3,13.9,37,5,N,30,1006.6
167,2018-07-17,9.1,17.5,0,5.2,7.6,N,69,10:06:00,10.7,58,1,N,22,1006.1,16.2,45,6,N,35,998.8
171,2018-07-21,6.7,14,0.2,2.2,1.7,N,31,13:46:00,8.1,79,7,NNE,9,1022.4,12.4,51,6,NNW,13,1021.6
32,2019-02-11,14.4,27.5,0,6.2,10.9,NNW,39,15:59:00,18.7,68,1,NA,Calm,1005.1,26,44,6,SSW,7,999.8
89,2019-04-19,8.6,22.1,0,4.8,9.6,SSE,17,02:48:00,12.7,68,1,NE,9,1027.8,20.1,51,1,SSW,9,1024.2
175,2018-07-25,8.3,15.7,6.2,4.4,7.5,NW,33,11:52:00,10.6,69,3,N,15,1016.1,14.5,47,6,W,9,1015.3
274,2018-11-27,14.4,20,0.2,4.8,4.2,S,35,13:31:00,16.6,70,7,ESE,9,1007.1,19.3,73,7,SSW,19,1004.9
177,2018-07-27,9.2,19.5,0,2.6,8.5,NNW,31,10:32:00,11.6,69,4,N,15,1014.1,19,45,1,NNW,13,1011.4
147,2019-06-25,3.5,17,0,2.8,8,N,28,13:56:00,5.3,77,6,NNE,11,1034.8,16.9,46,1,NNE,13,1032.6
257,2018-11-7,11.1,17.2,35.8,7.2,9.8,SSW,44,14:02:00,13.4,55,1,WSW,11,1009.9,13.9,58,7,SSW,19,1010.5
67,2019-03-26,12.3,20.3,0,8.8,10.2,S,33,11:08:00,13.5,56,1,NW,15,1018.2,19.2,43,3,S,13,1020.2
205,2018-08-31,8.9,16,1.6,3.2,1.2,N,56,03:20:00,12.3,65,8,N,15,999.8,14.1,67,7,N,6,997.7
234,2018-10-10,10.1,16.5,NA,4.4,11.6,ESE,50,17:36:00,12,61,1,SE,17,1023.1,15.4,43,6,ESE,20,1021.9
54,2019-03-8,11.3,26.8,0,7.6,1.4,NNE,31,12:10:00,15.7,43,7,NE,9,1018,26.4,23,8,NW,7,1016
124,2019-05-29,8.7,10.6,1.2,3.8,6.8,NW,50,10:09:00,8.9,62,3,WNW,13,1002.9,9.6,63,3,W,15,1005.5
25,2019-02-2,15,34.4,0,8,12.9,NW,39,12:30:00,19.2,66,1,NE,4,1015.6,33.4,37,2,SSE,7,1010.1
37,2019-02-16,16.1,23.2,0,5.4,8.9,SSW,31,13:20:00,18.7,77,8,SW,6,1019.2,21.9,70,3,S,15,1016.1
219,2018-09-21,8.3,18.9,0,3.4,7.6,SSW,31,13:03:00,13,67,7,NNW,9,1027.3,17.6,46,3,S,9,1025.1
95,2019-04-25,10.2,21.5,0,1.2,9.8,NNW,24,12:21:00,14,75,4,N,9,1022.4,21,41,1,WSW,7,1017.6
48,2019-02-28,16.3,36.8,0,8.4,10.1,N,46,09:23:00,24.5,50,1,NNE,9,1018.8,35.3,26,1,N,19,1016.8
168,2018-07-18,6.2,15.2,1.2,4,9.1,N,57,14:32:00,8.8,77,1,NNE,11,1015.4,14.7,49,6,NNW,22,1012.5
110,2019-05-13,12.7,18.1,0,1.8,7.4,N,46,15:42:00,14.5,74,2,N,13,1027.8,17.4,50,6,N,19,1024.5
152,2018-07-1,3.5,14.7,0.4,2,8.3,NNW,19,00:57:00,5.7,84,5,NNE,9,1032.5,12.4,63,7,SSW,6,1031.2
63,2019-03-19,16.9,23.4,0,6.6,0.9,SSW,35,15:44:00,19.3,86,7,NA,Calm,1016.2,22.9,77,7,SSW,13,1014.7
132,2019-06-7,11.7,16.6,0,1.2,6.5,N,22,13:58:00,12.3,74,7,NA,Calm,1036.6,15.9,62,1,SW,4,1032.8
